Name	Ident_A	Ident_B	Ident_C	Ident_D	ID	RI_Agilent	RI_Restek	RI_Thermo	Author
Tryptophan_(3TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	124	2206	2231	2208	MauiSILVIAPHJLK
Spermidine_(5TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	125	2246	2296	2259	contrib by M. Pietzke 
Fructose-1-phosphate_(1MEOX)(6TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	126	2291	NA	NA	MauiSILVIAPHJLK
Fructose-6-phosphate_(1MEOX)(6TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	127	2300	2385	2316	MauiSILVIAPHJLK
Glucose-1/6-phosphate_(1MEOX)(6TMS)_MP_RI:XXXX_IDENT:C+D/A+B	TRUE	TRUE	TRUE	TRUE	128	2315	2399	2330	MauiSILVIAPHJLK
Glucose-6-phosphate_(1MEOX)(6TMS)_BP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	129	2316	2420	2331	contrib by M. Pietzke 
Gluconic acid-6-phosphate_(7TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	130	2425	2512	2440	MauiSILVIAPHJLK
Uridine_(3TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	131	2473	2506	2468	MauiSILVIAPHJLK
Inosine_(4TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	132	2586	2647	2607	MauiSILVIAPHJLK
Sucrose_(8TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	133	2628	2718	2648	MauiSILVIAPHJLK
Adenosine_(4TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	134	2646	2687	2648	MauiSILVIAPHJLK
Spermine_(5TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	135	2668	2699	NA	contrib by M. Pietzke 
Lactose_(1MEOX)(8TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	136	2675	2738	2696	MauiSILVIAPHJLK
Lactose_(1MEOX)(8TMS)_BP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	137	2690	2768	2711	MauiSILVIAPHJLK
Fructose-1_6-diphosphate_(1MEOX)(7TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	138	2697	2795	2717	MauiSILVIAPHJLK
Fructose-1_6-diphosphate_(1MEOX)(7TMS)_BP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	139	2699	2788	2711	MauiSILVIAPHJLK
Spermine_(5TMS)_BP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	140	2713	2754	NA	contrib by M. Pietzke 
Maltose_(1MEOX)(8TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	141	2719	2779	2739	MauiSILVIAPHJLK
Trehalose_a-a-_(8TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	142	2726	2794	2735	MauiSILVIAPHJLK
Maltose_(1MEOX)(8TMS)_BP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	143	2744	2817	2763	MauiSILVIAPHJLK
UMP_(5TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	144	2878	2882	2876	contrib by M. Pietzke 
AMP_(5TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	145	3066	3118	3057	contrib by M. Pietzke 
